Location Number,Location Name,Location ID,Lat,Long,Address,URL
48,Penguin Peak,8.07E+14,61.16737162,-149.8960374,Anchorage,https://www.instagram.com/explore/locations/807463875943877
49,Denali Hwy,1.15E+14,61.14916428,-149.9312577,,https://www.instagram.com/explore/locations/115329841950210
50,Cca Motorsport,2.81E+14,61.16664,-149.8972,"5941 Arctic Blvd., Anchorage, AK",https://www.instagram.com/explore/locations/280705809339595
51,Taku Campbell Creek Park,1.51E+14,61.15171564,-149.880311,,https://www.instagram.com/explore/locations/150797834932128
52,Hair of The Dog,1.05E+14,61.16092769,-149.8996381,"1000 W. 66th Ct. , Anchorage, Alaska",https://www.instagram.com/explore/locations/104641131036775
53,Campbell Elementary,1.52E+15,61.15483,-149.90153,"7206 Rovenna St, Anchorage, AK ",https://www.instagram.com/explore/locations/1516988095222517
54,Mchugh Peak,4.51E+14,61.15433,-149.85234,Chugach Mountains,https://www.instagram.com/explore/locations/451450485669173
55,"The Ponds, Anchorage, Alaska",3.77E+14,61.16114611,-149.8509551,,https://www.instagram.com/explore/locations/376712439072758
56,"Abbott-Loop, Anchorage",4.25E+14,61.14717915,-149.8191481,,https://www.instagram.com/explore/locations/424750887733078
57,"glacier cruise,seward Alaska",2.23E+14,61.15223307,-149.8562166,,https://www.instagram.com/explore/locations/223409054378294
58,Doggie Dog World,1.50E+15,61.165291,-149.848993,"6130 Burlwood St, Anchorage, Alaska",https://www.instagram.com/explore/locations/1502274039989781
59,Rilke Schule German School of Arts and Sciences,4.75E+14,61.16207652,-149.8486506,"1846 E 64th Ave, Anchorage, Alaska",https://www.instagram.com/explore/locations/474956825914128
60,Eagle Towing,8.96E+14,61.16459285,-149.84865,"Anchorage, Alaska",https://www.instagram.com/explore/locations/896171380468553
61,F and H Fitness Stu-ANC,1.45E+15,61.16251,-149.85498,"6407  Brayton Dr, Anchorage, AK",https://www.instagram.com/explore/locations/1448586931952877
62,Alaska Axe Co,1.00E+14,61.15896988,-149.8357544,2520 E 68th Ave ,https://www.instagram.com/explore/locations/100321964823520
63,That Feeling Co,1.06E+14,61.16674,-149.84997,"1721 E Dowling Road, Anchorage, Alaska",https://www.instagram.com/explore/locations/105547717573271
64,Figarelle's Fitness LLC,1.13E+14,,,,https://www.instagram.com/explore/locations/112992038731943
65,"Lake Otis Blvd, Anchorage, Alaska",4.52E+14,61.16797148,-149.8393356,,https://www.instagram.com/explore/locations/451591218217573
66,Dowling And Old Seward,1.45E+14,61.16955411,-149.8526667,,https://www.instagram.com/explore/locations/144973338923593
67,"Little Tree, Anchorage, Alaska",4.58E+14,61.171818,-149.847893,,https://www.instagram.com/explore/locations/457886617587912
68,St Elizabeth Catholic School BASC,3.57E+14,61.16402655,-149.8333067,,https://www.instagram.com/explore/locations/356913047682600
69,Borro Gamefarm,8.94E+14,61.16182105,-149.8527758,"Anchorage, Alaska",https://www.instagram.com/explore/locations/893917987390658
70,Polaris K-12 School,1.43E+15,61.164733,-149.853819,"6200 Ashwood St, Anchorage, Alaska",https://www.instagram.com/explore/locations/1433881116861195
