Location Number,Location Name,URL
0,"Bethel, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDYxODE4NzYwNzk2NzhcIn0ifQ%3D%3D
1,"Nome, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDQxMTI0NTI5NjAwNDlcIn0ifQ%3D%3D
2,"Dillingham, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMTMxMTc4MTIwMzYxMDBcIn0ifQ%3D%3D
3,"Togiak, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDc3MDA3MjI1OTMzNTFcIn0ifQ%3D%3D
4,"Kwethluk, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDc0MjM0MzI2MjA5MDJcIn0ifQ%3D%3D
5,"Unalakleet, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMTI1NzkwODg3NTgwMjJcIn0ifQ%3D%3D
6,"Alakanuk, Alaska",https://www.facebook.com/search/posts?q=word&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9IiwicnBfbG9jYXRpb246MCI6IntcIm5hbWVcIjpcImxvY2F0aW9uXCIsXCJhcmdzXCI6XCIxMDgxMDQ5NjI1NTAzMDdcIn0ifQ%3D%3D
