Location Number,Location Name,Location ID,Lat,Long,Address,URL
60,Paws for Adventure Sled Dog Kennel,1.21419E+14,64.8806708,-147.4528804,"Herning Rd., Fairbanks, Alaska",https://www.instagram.com/explore/locations/121419144597203
61,"North Pole, Alaska",3.4904E+14,64.78208833,-147.3536833,,https://www.instagram.com/explore/locations/349040379076520
62,Aurora Ice Bar,4.09932E+14,64.82640798,-147.5374669,,https://www.instagram.com/explore/locations/409932205742257
63,Σιβηρια,1.21974E+15,64.751,-147.352,,https://www.instagram.com/explore/locations/1219735071453342
64,Birch Hill Ski and Snowboard Area,1.08944E+14,64.858358,-147.6195164,"Fairbanks, Alaska",https://www.instagram.com/explore/locations/108943609171709
65,"Eielson Air Force Base, Alaska",1.08741E+14,64.6656,-147.101,,https://www.instagram.com/explore/locations/108740982487938
66,"Aurora Borealis, North Pole, Alaska",4.34495E+14,64.73553959,-147.3065727,,https://www.instagram.com/explore/locations/434495233277769
67,"Bradway-Clear Creek, North Pole, Alaska",3.4743E+14,64.77288413,-147.4756834,"Bradway-Clear Creek, North Pole, Alaska",https://www.instagram.com/explore/locations/347429812022491
68,Arctic Harvest,2.23837E+14,64.65449753,-147.148259,"Eielson Farm Road, North Pole, Alaska",https://www.instagram.com/explore/locations/223836534637064
69,"Badger, Alaska",6.87847E+14,64.80527778,-147.4102778,"North Pole, Alaska",https://www.instagram.com/explore/locations/687846894591347
70,Antler Academy,1.18748E+15,64.75337763,-147.3399371,2 N E 6th Ave,https://www.instagram.com/explore/locations/1187484031296555
71,North Pole High School,1.95784E+15,64.74662075,-147.3690242,"601 NPHS Boulevard, North Pole, Alaska",https://www.instagram.com/explore/locations/1957844457579125
72,D'Qar,1.52308E+15,64.74878,-147.3525699,,https://www.instagram.com/explore/locations/1523084181352212
73,Reindeer Academy,1.08384E+15,64.75333286,-147.3398268,,https://www.instagram.com/explore/locations/1083844535025279
74,Rod's Alaskan Guide Service,1.44096E+14,64.79132729,-147.3000821,"3355 Repp Rd, North Pole, Alaska",https://www.instagram.com/explore/locations/144095702626817
75,The Knotty Shop,2.83648E+15,64.75407993,-147.3415098,"North Pole, Alaska",https://www.instagram.com/explore/locations/2836481426377437
76,Monterey Lake,1.18244E+14,64.81908171,-147.6186374,,https://www.instagram.com/explore/locations/118244384894393
77,Birch Hill Nordic Ski Area,1.99817E+14,64.86022,-147.61057,,https://www.instagram.com/explore/locations/199817393382802
78,"Eileson AFB, AK",1.44841E+14,64.67390757,-147.1140257,"Eielson Air Force Base, Alaska",https://www.instagram.com/explore/locations/144840578940198
